과목명,과목번호,분반,교과구분,강의시간,담당교수,학점,정원
CAD및3D프린팅(캡스톤디자인),21102983,1,전공선택,월수 10:00-11:50(창학 B113B),윤창규,3/2.0/2.0,32
CAD및3D프린팅(캡스톤디자인),21102983,2,전공선택,월수 15:00-16:50(창학 B113B),윤창규,3/2.0/2.0,32
IOT응용(캡스톤디자인),21102535,1,전공선택,월수 12:00-13:15(명신관 518),윤용익,3/3.0/0.0,40
UI/UX설계,21102539,1,전공선택,월수 10:00-11:50(명신관 602),임순범,3/2.0/2.0,40
객체지향프로그래밍(캡스톤디자인),21002103,1,전공필수,월수 10:30-11:45(명신관 701),윤용익,3/3.0/0.0,100
객체지향프로그래밍(캡스톤디자인),21002103,2,전공필수,수 15:00-17:50(명신관 317),김스베틀라나,3/3.0/0.0,100
경영정보시스템,21001083,1,전공선택,화목 12:00-13:15(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,2,전공선택,화목 13:30-14:45(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,3,전공선택,화목 15:00-16:15(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,4,전공선택,월수 12:00-13:15(명신관 505),한은정,3/3.0/0.0,50
경영정보시스템,21001083,5,전공선택,월수 13:30-14:45(명신관 505),한은정,3/3.0/0.0,51
공정제어및설계,21102664,1,전공선택,월수 15:00-16:15(과학관 107),박경태,3/3.0/0.0,50
공학기초물리Ⅰ,21102626,1,전공선택,월수 12:00-13:15(프라임관 201),권우성,3/3.0/0.0,83
공학기초물리Ⅰ,21102626,2,전공선택,월수 13:30-14:45(프라임관 201),권우성,3/3.0/0.0,83
공학기초화학Ⅰ,21102627,1,전공선택,화목 09:00-10:15(과학관 651),최경민,3/3.0/0.0,150
기계학습개론,21104171,1,전공선택,월수 10:30-11:45(르네상스 405),차은주,3/3.0/0.0,50
기초회로실험,21103533,1,전공선택,화목 15:00-18:50(르네상스 B210),최웅,2/0.0/4.0,32
기초회로실험,21103533,2,전공선택,목 15:00-18:50(르네상스 B210),최웅,2/0.0/4.0,32
논리회로,21102962,1,전공선택,화목 13:30-14:45(르네상스 405),최웅,3/3.0/0.0,80
데이터구조,21003066,1,전공필수,월수 12:00-13:15(명신관 701),박영호,3/3.0/0.0,150
데이터구조,21003066,2,전공필수,월수 15:00-16:15(명신관 701),박영호,3/3.0/0.0,110
데이터패턴인식,21105363,1,전공선택,월수 13:30-14:45(명신관 702),박영호,3/3.0/0.0,110
딥러닝,21103791,1,전공선택,월수 16:00-17:50(르네상스 403),심주웅,3/2.0/2.0,50
메카트로닉스이론및실습(캡스톤디자인),21103011,1,전공선택,월수 13:00-14:50(르네상스 404),심주웅,3/2.0/2.0,30
선형대수학,21000513,1,전공선택,월수 10:30-11:45(사회417),최진원,3/3.0/0.0,60
선형대수학,21000513,2,전공선택,화목 15:00-16:15(창학B111),신진우,3/3.0/0.0,61
선형대수학,21000513,3,전공선택,화목 12:00-13:15(창학B116),이정희,3/3.0/0.0,60
스마트서비스(캡스톤디자인),21102537,1,전공선택,화목 13:30-14:45(명신관 516),박화진,3/3.0/0.0,50
양자화학공학,21102899,1,전공선택,화목 13:30-14:45(프라임관 201),권우성,3/3.0/0.0,80
영상처리및응용,21002100,1,전공선택,월수 13:00-14:50(명신관 523),김병규,3/2.0/2.0,35
오픈소스프로그래밍,21105282,1,전공필수,월수 16:30-17:45(명신관 701),김병규,3/3.0/0.0,150
이차전지공학,21102631,1,전공선택,월수 12:00-13:15(과학관 107),류원희,3/3.0/0.0,55
인공지능IT기술이해,21102523,1,전공선택,월수 10:30-11:45(명신관 505),임유진,3/3.0/0.0,74
인공지능IT기술이해,21102523,2,전공선택,화목 10:30-11:45(명신관 505),신은주,3/3.0/0.0,75
인공지능IT기술이해,21102523,3,전공선택,화목 12:00-13:15(과학관 107),신은주,3/3.0/0.0,60
인공지능IT기술이해,21102523,4,전공선택,월수 10:30-11:45(프라임관 303),구설원,3/3.0/0.0,50
인공지능과기계학습,21104552,1,전공선택,화목 15:00-16:15(명신관 505),동서연,3/3.0/0.0,75
인공지능과기계학습,21104552,2,전공선택,화목 10:30-11:45(명신관 523),동서연,3/3.0/0.0,50
일반생명과학Ⅰ,21102628,1,전공선택,월수 16:30-17:45(과학관 651),임광일,3/3.0/0.0,170
임베디드시스템,21003759,1,전공선택,금 12:00-15:50(명신관 516),김윤진,3/2.0/2.0,50
자동차공학개론,21103000,1,전공선택,월수 10:30-11:45(르네상스 403),이종협,3/3.0/0.0,50
졸업프로젝트,21003682,1,전공선택,월 17:00-20:50(명신관 505),박영호,3/2.0/2.0,80
졸업프로젝트,21003682,2,전공선택,화 17:00-20:50(명신관 505),신은주,3/2.0/2.0,50
지능형센서시스템,21102974,1,전공선택,월수 15:00-16:50(르네상스 402),송승현,3/2.0/2.0,40
컴퓨터그래픽프로그래밍,21003680,1,전공선택,월수 12:00-13:15(명신관 505),박화진,3/3.0/0.0,50
컴퓨터아키텍처,21102526,1,전공필수,화목 15:00-16:15(순헌관511),김철연,3/3.0/0.0,160
프로그래밍입문,21102524,1,전공필수,화목 13:30-14:45(명신관 505),이종우,3/3.0/0.0,90
프로그래밍입문,21102524,2,전공필수,월수 13:30-14:45(명신관 601),박화진,3/3.0/0.0,55
프로그래밍입문,21102524,3,전공필수,월수 12:00-13:15(명신관 505),이종우,3/3.0/0.0,630
학부연구(캡스톤디자인),21103313,1,전공선택,금 15:00-18:50(르네상스 506),송승현,3/2.0/2.0,26
공학수학Ⅱ,21105362,1,전공필수,화목 10:30-11:45(명신관 701),강지우,3/3.0/0.0,90
공학수학Ⅱ,21105362,2,전공필수,화목 12:00-13:15(명신관 701),강지우,3/3.0/0.0,100
